id;scene;timestamp;x;y;z;rx;ry;rz
2;4;1773010107461;0.22;0;-13;0;0;0
2;4;1773010107651;0.2615094;1.061829;-13.30546;356.3299;357.4092;357.1714
2;4;1773010107710;0.2615235;1.061891;-13.30539;356.3325;357.3818;357.1726
2;4;1773010107767;0.2615015;1.061759;-13.30524;356.3904;357.4095;357.1687
2;4;1773010107824;0.2614876;1.061762;-13.30509;356.3641;357.4151;357.1647
2;4;1773010107880;0.2614296;1.061727;-13.30503;356.4188;357.4308;357.1638
2;4;1773010107936;0.2613465;1.061541;-13.305;356.4696;357.4212;357.1869
2;4;1773010107992;0.261247;1.06157;-13.305;356.4404;357.3964;357.1894
2;4;1773010108047;0.2613923;1.061582;-13.30517;356.3915;357.3738;357.1863
2;4;1773010108102;0.2613058;1.061718;-13.30532;356.3361;357.4124;357.1899
2;4;1773010108159;0.2613492;1.061741;-13.30539;356.2749;357.4057;357.1997
2;4;1773010108214;0.2613556;1.061784;-13.30546;356.2682;357.3838;357.2065
2;4;1773010108270;0.261391;1.061801;-13.30548;356.2649;357.3666;357.1796
2;4;1773010108325;0.2613039;1.061898;-13.30545;356.2048;357.3169;357.2134
2;4;1773010108380;0.2609676;1.062334;-13.30533;355.8912;357.0847;357.0447
2;4;1773010108437;0.2604284;1.062868;-13.30567;355.6028;356.6885;357.1025
2;4;1773010108492;0.2596364;1.063529;-13.30614;355.185;356.2909;357.1432
2;4;1773010108548;0.2580524;1.064652;-13.3067;354.6346;355.4757;356.9492
2;4;1773010108702;0.2559061;1.065753;-13.30748;353.8291;354.0205;356.9788
2;4;1773010108757;0.2510773;1.06755;-13.30948;352.6326;351.1652;357.1458
2;4;1773010108812;0.2494051;1.067752;-13.3102;352.5043;350.1509;357.2903
2;4;1773010108867;0.2480653;1.067512;-13.31071;352.5115;349.2683;357.4511
2;4;1773010108924;0.2465787;1.067644;-13.3108;352.6084;348.6149;357.6048
2;4;1773010108979;0.2459187;1.068108;-13.31083;352.318;348.2963;357.6919
2;4;1773010109035;0.2457983;1.067997;-13.31077;352.3302;348.4279;357.7058
2;4;1773010109090;0.2464922;1.067747;-13.31066;352.4387;348.9106;357.7085
2;4;1773010109145;0.2472271;1.067661;-13.31058;352.4936;349.3361;357.6982
2;4;1773010109202;0.2474278;1.06766;-13.31073;352.4884;349.3158;357.6723
2;4;1773010109257;0.2472453;1.06764;-13.31083;352.4818;349.1546;357.5975
2;4;1773010109313;0.2471115;1.067496;-13.31094;352.5518;349.0855;357.6914
2;4;1773010109368;0.2475004;1.067391;-13.31085;352.6036;349.2751;357.6601
2;4;1773010109424;0.2479798;1.067236;-13.31082;352.6535;349.5058;357.6254
2;4;1773010109478;0.2483756;1.0672;-13.31077;352.6641;349.7268;357.6276
2;4;1773010109535;0.2486205;1.06713;-13.31087;352.6877;349.8719;357.608
2;4;1773010109591;0.2486987;1.066997;-13.31083;352.7173;349.8798;357.6668
2;4;1773010109704;0.2483395;1.067098;-13.31083;352.7451;349.8323;357.6567
2;4;1773010109758;0.2484132;1.066822;-13.3108;352.884;349.9172;357.6806
2;4;1773010109813;0.2486917;1.066763;-13.3108;352.9604;350.1136;357.6927
2;4;1773010109869;0.2490507;1.066705;-13.3109;352.9759;350.3175;357.6838
2;4;1773010109924;0.2494665;1.066688;-13.31091;352.9516;350.531;357.696
2;4;1773010109980;0.2497735;1.066771;-13.31084;352.957;350.7353;357.7226
2;4;1773010110036;0.2501281;1.066705;-13.31079;352.9948;350.9345;357.6738
2;4;1773010110091;0.2506203;1.066671;-13.31061;353.0215;351.2554;357.6079
2;4;1773010110146;0.2513132;1.066563;-13.3103;353.0935;351.6238;357.6047
2;4;1773010110201;0.2521131;1.066511;-13.30999;353.1783;352.0488;357.5467
2;4;1773010110258;0.2527515;1.066367;-13.30977;353.2784;352.3931;357.5601
2;4;1773010110314;0.2532861;1.066284;-13.30967;353.2956;352.6379;357.5381
2;4;1773010110368;0.253617;1.066213;-13.30958;353.3173;352.8185;357.4912
2;4;1773010110424;0.2538418;1.066088;-13.30966;353.356;352.8981;357.4246
2;4;1773010110479;0.253969;1.06612;-13.30967;353.2966;352.9303;357.4223
2;4;1773010110536;0.2541658;1.06619;-13.30969;353.3452;353.0268;357.4303
2;4;1773010110591;0.2542432;1.066111;-13.30961;353.3582;353.1577;357.4379
2;4;1773010110704;0.2544475;1.066185;-13.30949;353.3484;353.3614;357.4098
2;4;1773010110758;0.2554823;1.066211;-13.30958;353.385;353.9769;357.3798
2;4;1773010110814;0.2557403;1.066269;-13.30958;353.3872;354.1707;357.3935
2;4;1773010110869;0.2559138;1.066337;-13.30964;353.3909;354.2728;357.3745
2;4;1773010110924;0.2560284;1.06626;-13.30968;353.4049;354.3112;357.3232
2;4;1773010110980;0.2563677;1.066278;-13.30949;353.4086;354.3697;357.2415
