ID;s1;s2;s3;s4;s5;s6
1;1;2;6;3;5;4
2;2;3;1;4;6;5
3;3;4;2;5;1;6
4;4;5;3;6;2;1
5;5;6;4;1;3;2
6;6;1;5;2;4;3
7;1;2;6;3;5;4
8;2;3;1;4;6;5
9;3;4;2;5;1;6
10;4;5;3;6;2;1
11;5;6;4;1;3;2
12;6;1;5;2;4;3
13;1;2;6;3;5;4
14;2;3;1;4;6;5
15;3;4;2;5;1;6
16;4;5;3;6;2;1
17;5;6;4;1;3;2
18;6;1;5;2;4;3
19;1;2;6;3;5;4
20;2;3;1;4;6;5
21;3;4;2;5;1;6
22;4;5;3;6;2;1
23;5;6;4;1;3;2
24;6;1;5;2;4;3
25;1;2;6;3;5;4
26;2;3;1;4;6;5
27;3;4;2;5;1;6
28;4;5;3;6;2;1
29;5;6;4;1;3;2
30;6;1;5;2;4;3
31;1;2;6;3;5;4
32;2;3;1;4;6;5
33;3;4;2;5;1;6
34;4;5;3;6;2;1
35;5;6;4;1;3;2
36;6;1;5;2;4;3
37;1;2;6;3;5;4
38;2;3;1;4;6;5
39;3;4;2;5;1;6
40;4;5;3;6;2;1
41;5;6;4;1;3;2
42;6;1;5;2;4;3
43;1;2;6;3;5;4
44;2;3;1;4;6;5
45;3;4;2;5;1;6
46;4;5;3;6;2;1
47;5;6;4;1;3;2
48;6;1;5;2;4;3
49;1;2;6;3;5;4
50;2;3;1;4;6;5
51;3;4;2;5;1;6
52;4;5;3;6;2;1
53;5;6;4;1;3;2
54;6;1;5;2;4;3
55;1;2;6;3;5;4
56;2;3;1;4;6;5
57;3;4;2;5;1;6
58;4;5;3;6;2;1
59;5;6;4;1;3;2
60;6;1;5;2;4;3
61;1;2;6;3;5;4
62;2;3;1;4;6;5
63;3;4;2;5;1;6
64;4;5;3;6;2;1
65;5;6;4;1;3;2
66;6;1;5;2;4;3
67;1;2;6;3;5;4
68;2;3;1;4;6;5
69;3;4;2;5;1;6
